Number,Finnish,English
1,kuin,as
2,minä,I
3,hänen,his
4,että,that
5,hän,he
6,oli,was
7,varten,for
8,päälle,on
9,olemme,are
10,kanssa,with
11,ne,they
12,olla,be
13,klo,at
14,yksi,one
15,olla,have
16,tämä,this
17,alkaen,from
18,mukaan,by
19,kuuma,hot
20,sana,word
21,mutta,but
22,mitä,what
23,jotkut,some
24,on,is
25,se,it
26,sinua,you
27,tai,or
28,oli,had
29,päälle,the
30,jos,of
31,to,to
32,ja,and
33,tehdä,a
34,sisään,in
35,me,we
36,voida,can
37,ulos,out
38,muut,other
39,olivat,were
40,joka,which
41,tehdä,do
42,niiden,their
43,aika,time
44,jos,if
45,tahtoa,will
46,miten,how
47,sanoi,said
48,pieni,an
49,kukin,each
50,kertoa,tell
51,tekee,does
52,setti,set
53,kolme,three
54,haluta,want
55,ilma,air
56,hyvin,well
57,myös,also
58,pelata,play
59,pieni,small
60,pää,end
61,laittaa,put
62,koti,home
63,lue,read
64,käsi,hand
65,portti,port
66,suuri,large
67,oikeinkirjoituksen,spell
68,lisätä,add
69,jopa,even
70,maa,land
71,täällä,here
72,must,must
73,iso,big
74,korkea,high
75,niin,such
76,seurata,follow
77,säädös,act
78,miksi,why
79,kysyä,ask
80,miehet,men
81,muutos,change
82,meni,went
83,valo,light
84,kind,kind
85,pois,off
86,tarvitsevat,need
87,talo,house
88,kuva,picture
89,yrittää,try
90,meille,us
91,jälleen,again
92,eläin,animal
93,kohta,point
94,äiti,mother
95,maailma,world
96,lähellä,near
97,rakentaa,build
98,itse,self
99,maa,earth
100,isä,father
101,kaikki,any
102,uusi,new
103,työ,work
104,osa,part
105,ottaa,take
106,saada,get
107,paikka,place
108,tehty,made
109,elää,live
110,jossa,where
111,jälkeen,after
112,takaisin,back
113,vähän,little
114,vain,only
115,pyöreä,round
116,mies,man
117,vuosi,year
118,tuli,came
119,show,show
120,joka,every
121,hyvä,good
122,minua,me
123,antaa,give
124,meidän,our
125,alle,under
126,nimi,name
127,hyvin,very
128,kautta,through
129,vain,just
130,lomake,form
131,virke,sentence
132,suuri,great
133,ajatella,think
134,sanoa,say
135,auttaa,help
136,alhainen,low
137,linja,line
138,erota,differ
139,vuoro,turn
140,syy,cause
141,paljon,much
142,tarkoittaa,mean
143,ennen,before
144,liikkua,move
145,oikea,right
146,poika,boy
147,vanha,old
148,liian,too
149,sama,same
150,hän,she
151,kaikki,all
152,siellä,there
153,kun,when
154,ylös,up
155,käyttää,use
156,sinun,your
157,tapa,way
158,noin,about
159,monet,many
160,sitten,then
161,niitä,them
162,kirjoittaa,write
163,olisi,would
164,kuten,like
165,niin,so
166,nämä,these
167,hänen,her
168,pitkä,long
169,tehdä,make
170,asia,thing
171,nähdä,see
172,häntä,him
173,kaksi,two
174,on,has
175,katso,look
176,lisää,more
177,päivä,day
178,voisi,could
179,mennä,go
180,tulevat,come
181,teki,did
182,numero,number
183,ääni,sound
184,ei,no
185,eniten,most
186,ihmiset,people
187,minun,my
188,yli,over
189,tietää,know
190,vesi,water
191,kuin,than
192,puhelu,call
193,ensimmäinen,first
194,jotka,who
195,saattaa,may
196,alas,down
197,puoli,side
198,ollut,been